n,Yaw,Pitch,Roll,Lift,Drag,Side
233,10.27398,2.6178,-0.01573,1.99045,-2.6743200000000003,-1.87436
234,10.27398,7.853400000000001,-0.03146,4.77708,-6.39744,-5.5889
235,10.27398,8.726,-0.01573,1.99045,-2.6743200000000003,-6.05418
236,10.27398,12.2164,-0.01573,3.58281,-4.789359999999999,-8.56472
237,13.69864,4.363,0.0,1.59236,-2.14992,-3.04418
238,10.27398,2.6178,0.0,1.99045,-2.6743200000000003,-1.85727
239,13.69864,1.7452,-0.01573,0.79618,-1.08368,-1.204
240,27.39728,6.9808,-0.01573,-5.57326,7.655519999999999,-4.816
241,37.67126,10.4712,-0.01573,-10.74843,14.83896,-7.224
242,47.94524,18.3246,-0.03146,-21.49686,29.55584,-12.642
243,58.21922,27.050600000000003,-0.03146,-46.57653,63.726639999999996,-18.662
244,78.76718,9.598600000000001,-0.01573,-17.51596,24.15488,-6.622
245,92.46582,-1.7452,-0.01573,-19.10832,26.322239999999997,1.22109
246,99.31514,-1.7452,-0.09438,-17.51596,24.015359999999998,1.204
247,92.46582,3.4904,-0.09438,-10.35034,14.2448,-2.408
248,102.73979999999999,2.6178,-0.09438,-10.35034,14.26224,-1.806
249,102.73979999999999,-3.4904,-0.09438,-10.35034,14.2448,2.42509
250,99.31514,4.363,-0.14157,-11.54461,15.852879999999999,-3.01
251,99.31514,6.9808,-0.18876,-11.14652,15.276159999999999,-4.816
252,95.89048,1.7452,-0.17303000000000002,-10.74843,14.699440000000001,-1.18691
253,95.89048,4.363,-0.11011000000000001,-9.95225,13.59832,-3.01
254,95.89048,5.2356,-0.09438,-9.95225,13.59832,-3.612
255,95.89048,5.2356,-0.09438,-9.95225,13.59832,-3.612
256,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
257,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
258,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
259,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.59491
260,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
261,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
262,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
263,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
264,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
265,95.89048,5.2356,-0.09438,-9.55416,13.07392,-3.612
266,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.59491
267,95.89048,5.2356,-0.09438,-9.55416,13.07392,-3.59491
268,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
269,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
270,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
271,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
272,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
273,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
274,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
275,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
276,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
277,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
278,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
279,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
280,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.59491
281,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
282,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
283,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
284,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.59491
285,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.59491
286,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.59491
287,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
288,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
289,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
290,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
291,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
292,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
293,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
294,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
295,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
296,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
297,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
298,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
299,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
300,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
301,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
302,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
303,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
304,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
